player_id,player_name,team_id,current_level,position,status_code,status_description,parent_team_id
676498,Alex Cornwell,235,AAA,P,ILF,Injured - Full Season,138
669697,Andrew Schultz,235,AAA,P,A,Active,138
647378,Andy Yerzy,235,AAA,C,A,Active,138
676153,Austin Love,235,AAA,P,A,Active,138
676632,Bligh Madris,235,AAA,OF,A,Active,138
822410,Bobby Olsen,235,AAA,P,A,Active,138
825576,Brandt Thompson,235,AAA,P,A,Active,138
690914,Brody Moore,235,AAA,2B,A,Active,138
690971,Chase Davis,235,AAA,CF,A,Active,138
807742,Colton Ledbetter,235,AAA,CF,A,Active,138
703766,Dakota Harris,235,AAA,SS,A,Active,138
677592,Everson Pereira,235,AAA,RF,RA,Rehab Assignment,138
815104,Graysen Tarlow,235,AAA,C,A,Active,138
684516,Hancel Rincon,235,AAA,P,A,Active,138
809100,Ixan Henderson,235,AAA,P,D60,Injured 60-Day,138
694363,Jared Shuster,235,AAA,P,A,Active,138
699625,Jimmy Crooks,235,AAA,C,A,Active,138
676596,Josh Fleming,235,AAA,P,A,Active,138
701388,Jurrangelo Cijntje,235,AAA,P,A,Active,138
695766,Mason Molina,235,AAA,P,A,Active,138
694335,Matt Svanson,235,AAA,P,A,Active,138
702331,Noah Mendlinger,235,AAA,RF,A,Active,138
677337,Pete Hansen,235,AAA,P,A,Active,138
680636,Ramon Mendoza,235,AAA,2B,A,Active,138
690916,Richard Fitts,235,AAA,P,ILF,Injured - Full Season,138
681676,Ryan Fernandez,235,AAA,P,A,Active,138
694885,Ryan Murphy,235,AAA,P,A,Active,138
811139,Sandro Santana,235,AAA,P,A,Active,138
691828,Sem Robberse,235,AAA,P,D60,Injured 60-Day,138
813766,Skylar Hales,235,AAA,P,A,Active,138
694358,Tekoah Roby,235,AAA,P,D60,Injured 60-Day,138
813852,Trey Paige,235,AAA,3B,A,Active,138
804241,Zach Levenson,235,AAA,LF,A,Active,138
668868,Zack Thompson,235,AAA,P,D60,Injured 60-Day,138
820832,Blake Aita,440,AA,P,A,Active,138
801078,Braden Davis,440,AA,P,A,Active,138
801629,Cade McGee,440,AA,3B,A,Active,138
800840,Chase Heath,440,AA,C,DEV,Development List,138
813820,Chen-Wei Lin,440,AA,P,A,Active,138
802371,Christian Worley,440,AA,P,A,Active,138
811666,Daniel Eagen,440,AA,P,A,Active,138
692404,Darlin Saladin,440,AA,P,A,Active,138
811765,Deniel Ortiz,440,AA,3B,D7,Injured 7-Day,138
822472,Domenic Picone,440,AA,P,A,Active,138
814413,Ian Petrutz,440,AA,OF,A,Active,138
701469,Jack Findlay,440,AA,P,A,Active,138
813668,Jack Gurevitch,440,AA,1B,A,Active,138
800305,Jesús  Báez,440,AA,SS,A,Active,138
822501,Jon Jon Gazdar,440,AA,SS,A,Active,138
692369,José Davila,440,AA,P,A,Active,138
683165,Joseph King,440,AA,P,A,Active,138
828824,Josiah Ragsdale,440,AA,OF,A,Active,138
824604,Liam Doyle,440,AA,P,A,Active,138
700720,Luis Pino,440,AA,CF,A,Active,138
826314,Mason Burns,440,AA,P,ILF,Injured - Full Season,138
828594,Michael Watson,440,AA,P,A,Active,138
702296,Nate Dohm,440,AA,P,DEV,Development List,138
822463,Nolan Sparks,440,AA,P,A,Active,138
823787,Rainiel Rodriguez,440,AA,C,A,Active,138
695003,Randel Clemente,440,AA,P,A,Active,138
701481,Ryan Campos,440,AA,C,A,Active,138
806191,Tai Peete,440,AA,OF,A,Active,138
815119,Tanner Franklin,440,AA,P,A,Active,138
802469,Travis Honeyman,440,AA,LF,D7,Injured 7-Day,138
693832,Tre Richardson III,440,AA,2B,A,Active,138
802680,Tyler Bradt,440,AA,P,D60,Injured 60-Day,138
800231,Won-Bin Cho,440,AA,RF,A,Active,138
823369,Yhoiker Fajardo,440,AA,P,A,Active,138
801130,Alex Birge,443,A+,C,A,Active,138
824713,Andrew Williamson,443,A+,OF,A,Active,138
699031,Anyelo Encarnación,443,A+,SS,A,Active,138
829670,Brayden Smith,443,A+,2B,A,Active,138
701509,Brian Holiday,443,A+,P,A,Active,138
694058,Bruno López,443,A+,P,D60,Injured 60-Day,138
827265,Cade Crossland,443,A+,P,A,Active,138
821299,Caden Ferraro,443,A+,OF,A,Active,138
834897,Dylan Driessen,443,A+,P,A,Active,138
