player_name,level,age,plate_appearances,sample_size,home_runs,avg,obp,slg,ops,k_rate,bb_rate,iso
Tre Richardson III,A+,24,122,Large,11,.346,.434,.731,1.165,0.28688524590163933,0.12295081967213115,0.385
Jesús  Báez,AA,21,257,Large,25,.316,.354,.679,1.033,0.15953307392996108,0.038910505836575876,0.36300000000000004
Jimmy Crooks,AAA,24,236,Large,15,.300,.432,.574,1.006,0.2838983050847458,0.1652542372881356,0.27399999999999997
Rainiel Rodriguez,AA,19,402,Large,23,.328,.408,.591,.999,0.19154228855721392,0.10199004975124377,0.26299999999999996
Tai Peete,A+,20,200,Large,10,.300,.370,.611,.981,0.285,0.1,0.311
Zach Levenson,AAA,24,67,Moderate,5,.311,.373,.607,.980,0.26865671641791045,0.07462686567164178,0.296
Trey Paige,AAA,25,59,Moderate,2,.340,.407,.566,.973,0.13559322033898305,0.0847457627118644,0.22599999999999992
Miguel Hernández,A,18,103,Large,2,.304,.466,.494,.960,0.2621359223300971,0.1941747572815534,0.19
Rainiel Rodriguez,A+,19,128,Large,4,.311,.430,.519,.949,0.1875,0.1484375,0.20800000000000002
Jack Gurevitch,A+,22,273,Large,17,.302,.375,.566,.941,0.27472527472527475,0.08791208791208792,0.26399999999999996
Sammy Hernandez,A+,22,253,Large,11,.279,.411,.529,.940,0.1857707509881423,0.16996047430830039,0.25
Michael Dattalo,A,22,136,Large,1,.368,.463,.474,.937,0.10294117647058823,0.1323529411764706,0.10599999999999998
Jack Gurevitch,A,22,128,Large,6,.274,.398,.538,.936,0.3046875,0.15625,0.264
Bryan Torres,AAA,28,166,Large,2,.336,.454,.477,.931,0.15060240963855423,0.1746987951807229,0.14099999999999996
Brody Moore,AA,25,95,Moderate,2,.386,.411,.511,.922,0.14736842105263157,0.05263157894736842,0.125
